,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
GJA1,10006468.08.00,132.387.821.881.849,29.340.663.286.999,451.209.369.695.849,"6,42E+08",107.941.615.791.279,FALSE
PTPRN,385.825.940.866.822,-132.046.997.731.219,354.154.332.378.954,-372.851.566.841.558,192.610.935.083.765,127.450.672.185.994,FALSE
IGFBP7,5774665.46.00,131.805.500.333.506,261.074.430.215.106,504.857.945.011.728,"4,45E+07",118.876.393.042.273,FALSE
SLC6A15,352.108.124.238.523,131.692.663.525.761,346.375.390.277.786,380.202.136.820.824,143.520.345.520.193,104.677.630.320.973,FALSE
DCT,11154220.16.00,131.230.685.153.953,402.743.023.359.769,325.842.230.758.458,112.033.548.389.701,434.873.150.834.821,FALSE
KDF1,900.829.673.459.998,131.164.423.108.588,396.502.989.447.516,330.803.112.711.336,939.543.661.586.528,39.225.407.903.616,FALSE
LOC554249,251.805.126.138.243,-130.977.965.178.094,253.783.430.475.638,-516.101.326.759.657,"2,46E+07","7,56E+09",FALSE
HSPB8,198.939.712.085.296,130.663.408.635.382,381.321.164.208.147,342.659.733.840.681,611.194.659.309.144,295.314.684.718.912,FALSE
HTRA3,328.426.730.144.626,129.346.877.715.351,363.411.396.798.571,355.924.109.300.964,371.927.987.532.385,206.562.207.387.634,FALSE
KCNE4,299.611.520.873.004,129.226.274.338.752,30.383.152.197.776,425.322.143.988.111,"2,11E+09",268.797.288.093.102,FALSE
SOX2-OT,866.946.547.689.501,-128.529.790.079.383,330.641.970.036.338,-388.727.995.013.028,10.137.381.575.552,800.456.464.320.002,FALSE
IFI30,490.378.849.666.932,128.446.384.098.737,397.531.466.495.884,323.109.979.773.305,123.314.876.076.292,456.114.351.206.018,FALSE
TMEM92,103.597.728.141.341,128.072.374.980.896,399.325.626.605.886,320.721.652.826.196,134.026.075.831.676,482.905.185.122.891,FALSE
FGF17,127.926.166.673.899,-127.770.280.063.965,292.109.517.785.929,-437.405.398.606.699,"1,22E+09",183.051.168.620.909,FALSE
RHOD,612.041.958.404.376,127.448.014.211.838,232.201.091.690.486,548.869.143.051.748,"4,05E+06","1,84E+09",FALSE
CALB1,634.470.870.602.037,-127.312.266.336.501,393.565.970.296.959,-323.483.928.858.076,121.711.217.270.275,453.642.822.628.289,FALSE
TAGLN3,1078699.37.00,-125.882.079.244.343,340.179.910.052.796,-370.045.600.943.353,215.212.385.987.191,139.091.535.299.408,FALSE
MIR7-3HG,443.466.401.674.012,-125.714.939.538.962,352.647.087.751.677,-356.489.373.953.051,364.003.630.422.001,203.647.912.752.748,FALSE
BAMBI,18078737.45.00,125.661.330.346.693,368.026.134.002.469,341.446.758.087.702,639.067.983.266.088,298.726.654.974.119,FALSE
SFRP4,103.870.482.324.045,124.999.998.031.457,37.740.993.643.388,331.204.841.114.078,926.155.176.119.958,387.555.395.242.271,FALSE
COL16A1,783.697.396.877.879,124.492.784.115.368,355.854.987.930.344,349.841.335.200.664,468.035.140.929.806,24.566.434.087.937,FALSE
CCDC60,280.791.673.284.337,124.383.231.779.312,352.433.660.628.661,352.926.651.663.863,416.713.233.346.959,227.949.669.602.835,FALSE
ISLR,161.982.058.391.419,123.869.007.946.488,331.459.588.538.886,373.707.722.538.719,186.171.757.460.433,124.762.556.724.684,FALSE
NEK9,3883486.21.00,-123.860.693.596.042,237.504.229.900.967,-521.509.421.738.252,"1,84E+07","6,30E+09",FALSE
CALB2,430.044.517.584.748,123.283.197.699.211,311.844.290.280.539,395.335.754.226.264,"7,71E+09",6.696.295.437.335,FALSE
BSPRY,35.782.293.642.308,123.260.262.270.519,263.067.417.730.358,468.550.090.064.214,"2,79E+08",53.388.765.440.007,FALSE
S1PR5,450.428.176.655.646,12.257.808.310.512,302.207.282.238.788,405.609.296.364.559,"4,99E+09",487.569.375.374.773,FALSE
CELF3,681.505.221.575.973,-122.403.588.474.551,326.820.290.866.599,-374.528.729.994.042,18.018.745.328.913,123.486.201.478.637,FALSE
FAM101B,17653597.55.00,12.195.749.185.457,305.207.051.784.618,399.589.364.470.628,"6,45E+09",591.155.828.540.875,FALSE
SCN3A,310.647.015.729.437,-121.861.113.666.806,291.867.472.098.416,-417.522.078.738.926,"2,98E+09",335.806.121.655.653,FALSE
CAPG,128.036.379.341.872,121.417.814.549.621,3.072.218.035.896,395.212.231.459.381,"7,75E+09",669.891.206.129.508,FALSE
NPTX2,108.249.278.255.451,-120.939.979.179.669,302.231.424.462.456,-400.156.864.544.349,"6,29E+09",583.041.614.762.499,FALSE
FRK,10.945.209.810.114,120.526.774.253.354,369.760.254.264.362,325.959.247.548.502,111.572.401.181.637,434.873.150.834.821,FALSE
NPM2,163.256.163.259.532,-12.024.993.263.259,234.467.856.918.877,-512.863.188.211.744,"2,92E+07","8,41E+09",FALSE
RARRES3,293.287.687.646.718,119.692.631.019.889,351.120.147.560.784,340.887.960.578.135,652.302.606.923.363,300.671.767.622.721,FALSE
CCDC14,807.411.811.700.709,-118.857.934.986.795,217.372.325.798.448,-546.794.236.801.804,"4,55E+06","2,02E+09",FALSE
FAM21EP,658.832.465.814.432,-117.504.217.526.143,311.019.927.973.048,-377.802.857.495.117,158.074.744.863.286,112.580.213.390.672,FALSE
KSR2,14373147.37.00,-11.692.593.937.971,34.158.992.620.597,-342.299.144.118.223,619.360.274.398.845,296.382.473.662.524,FALSE
NOS2,471.151.106.197.407,-11.634.608.503.289,267.523.224.635.835,-434.900.877.078.114,"1,37E+09",197.374.691.557.562,FALSE
SIK1,268.269.712.819.692,11.601.141.336.234,223.541.598.513.619,518.970.134.121.466,"2,11E+07","6,83E+09",FALSE
LGALS1,28826805.07.00,114.795.269.492.222,322.044.218.251.917,356.458.097.944.874,3.644.379.254.702,203.647.912.752.748,FALSE
FAM212B-AS1,454.354.016.009.917,-11.459.691.716.819,271.311.747.463.409,-422.380.963.005.094,"2,40E+09",286.999.923.177.263,FALSE
TMBIM1,671.231.053.234.913,114.311.147.232.714,264.187.223.860.462,432.689.914.229.503,"1,51E+09",21.125.875.794.333,FALSE
COL1A2,5660746.04.00,113.883.689.293.905,226.473.169.363.265,502.857.312.475.877,"4,94E+07",12.464.072.647.764,FALSE
MSX2,161.937.069.826.385,113.652.062.478.273,340.157.688.500.395,334.115.812.520.112,834.296.930.348.493,358.195.426.762.624,FALSE
SH3TC1,160.405.493.644.747,113.606.309.143.484,238.602.345.122.792,476.132.408.023.981,"1,92E+07",401.476.895.257.447,FALSE
GRIA3,106.894.234.587.283,-112.978.568.576.841,33.091.458.035.239,-341.413.087.499.895,639.858.316.089.049,298.726.654.974.119,FALSE
KCNA3,469.924.340.241.035,-112.760.014.523.756,322.779.278.962.115,-349.340.933.179.885,476.894.896.797.108,248.164.797.355.122,FALSE
B4GALNT1,814.838.194.469.459,-111.557.147.080.569,327.363.858.798.623,-340.774.169.421.044,655.028.697.017.503,301.163.953.583.161,FALSE
CADM3-AS1,196.221.642.782.698,-111.284.008.285.466,33.075.637.521.964,-336.453.101.505.807,766.738.661.283.175,333.926.638.550.689,FALSE
PCDH8,143.338.717.467.989,-110.881.360.903.226,268.252.621.824.145,-413.346.792.844.825,"3,57E+09",38.173.372.789.889,FALSE
C17orf107,743.173.153.299.346,110.836.945.126.529,282.967.682.885.092,391.694.712.259.908,"8,97E+09",743.268.179.849.234,FALSE
CMYA5,641.945.243.220.467,110.414.961.559.315,338.158.539.616.187,326.518.329.788.854,10.939.326.091.117,432.368.851.548.024,FALSE
TPRN,812.693.736.781.429,110.280.853.796.052,260.556.923.622.577,42.325.052.147.068,"2,31E+09",280.253.686.399.116,FALSE
CTSC,779.784.705.808.362,109.371.705.245.573,209.363.138.102.208,522.401.919.635.822,"1,75E+06","6,14E+09",FALSE
VAMP8,330.657.434.477.391,109.270.228.864.144,319.543.843.696.089,341.956.920.841.413,62.720.375.597.284,298.184.487.230.962,FALSE
TOR4A,921.691.345.355.932,109.266.839.391.494,306.723.028.010.237,356.239.438.885.062,367.487.760.637.182,204.722.246.040.855,FALSE
ANKFY1,740.354.393.481.773,-108.135.877.029.504,332.145.550.955.431,-325.567.741.968.685,113.122.194.885.917,435.502.849.682.718,FALSE
TH,112.515.843.961.095,-108.126.337.532.905,283.841.525.521.803,-380.939.107.955.153,139.309.459.645.461,103.265.269.249.846,FALSE
DHCR24,408.186.488.329.287,107.769.006.689.308,216.723.724.700.862,497.264.463.491.751,"6,60E+07",151.829.780.925.008,FALSE
LY6E,80.527.594.363.595,107.575.619.136.374,200.028.759.666.669,537.800.760.828.793,"7,53E+06","3,04E+08",FALSE
IP6K3,16.654.816.909.255,107.371.472.338.625,308.906.580.487.781,347.585.578.038.121,509.226.049.340.296,260.107.401.818.025,FALSE
SOX2,30710294.56.00,-107.332.834.542.083,326.720.510.019.629,-328.515.753.527.793,101.925.365.627.756,41.410.885.126.749,FALSE
LAMA1,210.004.649.864.153,106.810.583.663.445,316.969.982.394.255,336.973.813.282.392,752.396.486.582.102,329.259.580.549.821,FALSE
ULK4P2,368.303.684.640.588,-106.805.750.391.867,325.354.641.993.064,-328.274.862.585.622,102.800.289.328.427,415.803.130.176.739,FALSE
PRTFDC1,9.955.620.696.678,-106.746.145.619.355,299.152.115.208.706,-356.828.984.962.658,359.318.884.267.998,202.658.082.521.463,FALSE
CAPN6,280.219.054.656.242,106.569.266.033.551,282.701.142.230.628,376.967.935.794.936,163.457.408.062.763,115.507.781.627.542,FALSE
CYP27A1,134.619.610.038.617,105.708.090.168.289,294.690.150.769.195,358.709.274.444.267,334.385.414.393.187,193.400.430.280.085,FALSE
LRRN4CL,528.124.046.781.747,105.512.446.949.177,313.460.421.291.105,336.605.324.891.047,762.519.871.725.774,332.887.581.500.283,FALSE
SMTNL2,5679041.01.00,105.380.932.354.874,181.285.931.688.319,581.296.802.093.025,"6,14E+05","4,29E+08",FALSE
SLC7A2,345.393.367.854.691,104.702.457.609.174,297.276.554.361.691,352.205.567.754.881,428.214.198.144.863,231.452.322.991.335,FALSE
ELMOD1,105.165.893.663.089,-104.602.672.473.737,303.849.217.492.795,-344.258.488.920.469,576.182.997.885.744,284.349.440.885.951,FALSE
KIF5A,596.925.752.758.113,-10.432.247.853.448,267.994.560.245.127,-389.270.880.868.102,"9,91E+09",789.614.092.189.556,FALSE
FN1,10346498.46.00,104.322.189.275.565,303.295.176.940.261,343.962.572.461.588,582.519.152.205.441,286.697.298.731.789,FALSE
CREG2,332.945.854.746.654,-104.047.898.683.821,310.202.929.098.742,-335.418.814.342.342,795.982.208.178.743,344.186.497.207.956,FALSE
ZFPM2,9.926.115.667.052,104.006.863.028.841,316.697.369.777.033,328.410.883.557.591,102.305.406.192.821,414.725.107.559.783,FALSE
UNC5A,127.852.865.812.501,-10.389.200.254.968,308.103.271.854.922,-337.198.634.484.481,746.281.483.732.906,327.372.416.088.727,FALSE
TMEM191A,329.911.162.583.513,103.692.242.475.671,205.751.042.569.949,503.969.463.194.424,"4,66E+07",121.950.889.885.564,FALSE
COBL,146.538.090.901.964,103.560.828.289.451,323.367.348.709.576,320.257.529.718.815,136.204.687.659.484,487.892.176.052.047,FALSE
RAB27A,582.668.052.025.707,103.172.480.291.334,297.159.039.782.745,347.196.169.319.851,516.670.056.193.034,26.283.599.133.114,FALSE
RPS6KL1,155.529.540.376.181,-103.051.780.564.123,275.253.623.018.038,-374.388.461.936.321,181.196.885.588.695,123.711.151.848.733,FALSE
CDH3,601.904.387.302.479,102.800.388.487.707,269.591.424.243.339,381.319.208.414.127,137.183.409.842.478,102.526.251.281.862,FALSE
UNC80,244.186.094.025.654,-102.373.378.456.212,267.038.098.839.785,-383.366.189.697.272,126.249.642.134.177,959.338.807.865.602,FALSE
LAMB1,579.229.894.036.187,102.253.878.319.815,173.175.596.651.513,590.463.554.316.973,"3,53E+04","2,57E+08",FALSE
DLC1,582.258.845.620.281,102.042.343.507.989,302.575.812.490.011,337.245.540.772.886,745.011.494.066.449,327.372.416.088.727,FALSE
SYP,346.407.724.643.987,-101.937.912.090.872,257.685.720.218.333,-395.590.069.967.793,"7,62E+09",666.515.615.027.517,FALSE
COBLL1,504.409.400.780.709,101.113.053.159.003,204.613.670.228.119,494.165.678.403.962,"7,75E+07",175.847.262.435.975,FALSE
EPS8L2,317.285.808.662.322,100.879.932.283.399,258.402.059.883.282,390.399.102.580.552,"9,46E+09",775.876.518.014.616,FALSE
FOXS1,231.088.088.327.893,100.665.076.228.354,270.955.446.046.375,371.518.925.702.362,203.051.660.184.337,132.648.244.626.178,FALSE
TMEM145,954.398.758.340.818,-100.613.106.197.154,235.032.453.370.228,-428.081.759.580.095,"1,86E+09",247.219.856.840.365,FALSE
PLIN2,503.690.474.019.655,100.564.924.527.095,207.766.836.212.767,484.027.799.432.389,"1,30E+08",273.803.740.833.948,FALSE
ACTN2,114.967.485.513.158,100.387.200.172.128,29.968.782.250.124,334.972.570.237.527,808.916.224.295.277,348.121.505.910.581,FALSE
