,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,outlier
GATA6-AS1,150.142.138.804.199,309.605.418.324.602,457.411.921.509.607,676.863.465.435.715,"1,30E+03","2,36E+06",FALSE
TCF21,29.381.056.212.049,30.796.720.906.735,772.985.932.953.589,398.412.436.679.933,"6,77E+09",611.957.008.452.452,FALSE
PCDHB5,849.388.800.663.446,306.897.066.925.599,907.873.407.850.626,338.039.493.470.981,723.817.423.055.689,321.399.711.983.236,FALSE
SMYD1,65.282.594.977.951,304.786.992.814.251,896.980.029.097.767,339.792.395.512.777,678.992.911.573.218,308.537.724.320.841,FALSE
FDCSP,140.955.139.030.475,301.554.854.864.506,784.820.044.192.968,384.234.395.000.188,121.864.895.458.018,933.834.753.760.785,FALSE
PKHD1L1,104.802.207.941.911,300.839.304.010.611,746.077.172.694.127,403.228.131.111.777,"5,52E+09",522.488.274.311.639,FALSE
WT1,178.695.929.083.676,296.977.240.432.642,825.464.637.731.286,359.769.791.288.525,321.046.187.444.634,188.081.284.199.419,FALSE
C3,206.512.498.986.137,294.371.331.643.304,644.179.524.308.289,456.970.953.802.663,"4,88E+08",84.531.150.017.631,FALSE
HHIP,709.789.954.622.379,293.094.253.319.051,747.678.263.327.565,392.005.850.236.472,"8,85E+09",740.897.460.391.533,FALSE
TM4SF1,433.832.293.770.725,290.745.424.317.595,420.689.581.760.388,691.116.293.160.771,"4,81E+02","9,70E+05",FALSE
UPK1B,18.593.540.239.717,290.437.417.750.036,564.743.530.021.901,514.281.974.578.394,"2,71E+07","8,06E+09",FALSE
TCN1,258.002.932.095.783,289.979.841.834.679,807.434.073.834.671,35.913.748.407.657,3.289.381.361.414,19.146.940.674.564,FALSE
VIL1,745.463.657.231.805,289.668.801.823.089,84.884.689.120.633,341.249.764.620.601,643.704.828.611.085,298.985.253.002.709,FALSE
ACSL5,125.257.100.569.363,275.638.238.732.471,859.969.522.178.374,320.520.938.967.995,134.964.258.823.906,484.404.328.952.758,FALSE
CLDN7,439.778.642.485.843,273.454.316.484.513,707.585.626.680.667,386.461.095.552.924,111.266.402.813.313,86.355.091.516.777,FALSE
AGTR2,89.085.124.174.649,271.685.528.474.431,796.985.111.810.754,340.891.598.159.419,652.215.635.820.338,300.671.767.622.721,FALSE
ACTC1,17.052.953.210.098,269.657.871.178.428,644.247.467.593.562,418.562.562.900.981,"2,84E+09",32.687.699.743.897,FALSE
SULT1A3,636.221.476.317.033,268.567.596.013.941,787.788.163.523.498,34.091.346.944.429,651.692.941.538.393,300.671.767.622.721,FALSE
CPED1,735.360.826.848.729,268.287.838.300.374,631.909.626.243.705,42.456.678.480.303,"2,18E+09",272.970.208.227.213,FALSE
RARRES1,791.638.112.400.876,263.414.689.158.963,437.327.203.101.208,602.328.616.402.128,"1,71E+05","1,41E+08",FALSE
SVEP1,11.056.909.673.078,262.605.310.001.876,567.030.887.925.774,463.123.465.747.164,"3,63E+08",666.805.183.152.942,FALSE
CRYGA,256.892.459.182.401,261.929.236.158.282,552.511.671.063.799,474.070.051.142.932,"2,13E+08",420.428.250.465.699,FALSE
IRF6,138.764.191.103.552,26.055.916.447.401,642.415.567.968.489,405.592.855.257.193,"4,99E+09",487.569.375.374.773,FALSE
KRT4,821.494.995.490.882,25.739.395.830.215,615.228.164.533.729,418.371.545.940.561,"2,87E+09",327.563.933.848.378,FALSE
WT1-AS,14.959.751.176.526,256.658.842.334.121,784.326.138.696.473,327.234.844.883.126,106.658.036.427.221,428.543.495.476.718,FALSE
OSR1,297.211.025.554.471,254.701.944.327.558,693.948.772.744.538,367.032.775.805.947,242.239.656.565.263,150.147.249.245.111,FALSE
DAW1,243.757.662.484.334,253.228.514.665.965,619.140.528.413.125,409.000.062.255.651,"4,31E+08",437.661.869.095.044,FALSE
ATP8B4,77.415.499.639.409,252.466.315.138.432,722.105.879.467.164,349.625.065.128.572,471.845.251.938.072,246.950.478.975.427,FALSE
POSTN,378.426.096.711.777,247.960.890.137.009,54.370.831.645.173,456.054.988.739.579,"5,10E+07",867.999.055.208.422,FALSE
SLC7A7,124.030.430.845.934,247.743.628.021.182,3.169.794.291.178,781.576.358.789.873,"5,46E-01","1,60E+03",FALSE
ALDH1A2,116.837.383.011.691,242.234.312.604.279,664.887.615.423.628,364.323.694.689.277,269.230.784.825.143,161.369.646.310.542,FALSE
KRT17,496.491.674.147.691,242.167.732.812.725,71.274.121.040.386,339.769.511.398.822,679.561.090.954.993,308.537.724.320.841,FALSE
RAB7B,142.586.915.215.861,241.509.714.423.548,707.065.217.500.386,341.566.390.830.725,636.267.242.528.304,298.726.654.974.119,FALSE
AKR1B10,233.447.537.928.269,239.934.903.785.851,641.199.123.663.854,374.197.179.832.136,182.582.009.024.597,123.726.562.160.287,FALSE
EPCAM,712866.08.00,238.827.729.543.909,564.643.449.906.827,422.970.866.983.968,"2,34E+09",281.428.318.909.528,FALSE
COL6A3,19338827.55.00,237.092.319.911.668,536.110.945.788.613,44.224.487.818.078,"9,76E+07",152.318.937.266.429,FALSE
SCEL,198.227.430.659.593,231.384.018.783.765,497.872.325.554.282,464.745.692.635.487,"3,36E+08",622.759.658.205.712,FALSE
KCNA2,11.516.474.795.065,-230.876.181.385.872,462.794.878.645.565,-498.873.673.929.937,"6,08E+07",141.505.392.639.498,FALSE
TNFRSF8,460.231.800.135.918,228.754.802.720.229,692.215.912.556.383,330.467.414.242.802,950.868.833.748.565,396.071.763.525.406,FALSE
GOLT1A,95.511.934.550.951,227.768.813.032.461,548.412.024.569.422,415.324.250.432.493,"3,28E+09",360.795.266.208.951,FALSE
ANXA8L1,199.460.546.173.856,226.164.723.034.849,556.991.287.689.734,406.047.146.577.329,"4,90E+09",486.017.363.055.082,FALSE
RNASE1,302.266.789.961.057,225.176.621.912.244,701.836.379.732.692,320.839.199.013.889,133.479.435.136.828,481.932.409.844.918,FALSE
KRT19,465.249.641.715.191,22.272.298.938.841,206.548.794.579.608,107.830.689.519.017,"4,14E-13","7,52E-09",FALSE
DPP4,24086988.37.00,220.190.443.810.219,398.341.303.252.299,552.768.296.966.575,"3,24E+06","1,55E+08",FALSE
CASP4,132.455.603.575.009,219.590.558.814.093,589.874.212.842.095,37.226.675.456.124,197.129.012.671.168,129.712.318.808.735,FALSE
PLLP,932.156.575.403.028,216.505.603.180.241,414.500.496.994.936,522.328.935.067.324,"1,76E+07","6,14E+09",FALSE
BNC1,287.305.082.177.346,215.854.769.915.572,345.031.002.623.134,625.609.780.786.403,"3,95E+04","3,98E+07",FALSE
IL1R1,226.998.491.041.452,214.803.717.880.709,551.229.643.027.969,38.968.099.883.157,"9,75E+09",779.787.171.603.585,FALSE
P4HA3,357.955.198.658.651,212.916.028.297.524,425.862.375.024.962,499.964.403.488.436,"5,74E+07",139.079.971.318.708,FALSE
SLPI,697.992.473.892.518,208.889.776.944.848,416.780.576.659.658,501.198.445.040.366,"5,39E+07",132.210.995.860.312,FALSE
IGF1,189.791.182.504.569,207.554.157.883.248,388.339.518.579.772,534.465.713.513.555,"9,06E+06","3,50E+09",FALSE
COL3A1,9298413.35.00,207.145.459.306.233,483.988.081.593.189,427.997.025.514.249,"1,87E+09",247.219.856.840.365,FALSE
PRSS8,265.074.184.025.246,206.310.654.423.137,482.162.932.579.584,427.885.763.261.331,"1,88E+09",247.219.856.840.365,FALSE
